Rank,Address,Balance,% of coins,First In,Last In,Ins,First Out,Last Out,Outs
127,14E4jGeo7Gys3DvQThT9AiEq3yvmcpRZ27,"1,170 BTC ((120,996,788)",0.005887%,2013-07-05 18:51:23,2025-02-02 21:33:05,25,,,
128,1N5ACP9k2wRUgC3siFRu45MoR9Xkvb6Wmc,"1,111 BTC ((114,895,243)",0.0055901%,2011-08-08 20:20:12,2025-02-03 19:03:57,24,,,
129,12yqUYtcCvDgiDgzJTT7DsSCoSifwYavhH,"1,105 BTC ((114,274,749)",0.0055599%,2013-01-22 11:58:14,2025-02-03 19:03:57,75,2013-01-23 13:53:42,2013-09-07 21:00:16,5
130,1Dd3QKnvAZC17SvguLq8aoi8JLtQfr532P,"1,100 BTC ((113,768,010)",0.0055353%,2013-06-15 00:21:39,2025-02-04 11:36:11,28,,,
131,1KmaiBSWEwmLcmq1TZzEJqwvmchS6t2n3E,"1,093 BTC ((113,055,473)",0.0055006%,2011-04-10 03:33:42,2025-02-04 14:06:07,31,2011-05-02 00:09:43,2011-05-02 00:09:43,1
132,1khUbG5x5irP5S8oaDDdNHZffymb5bpXu,"1,049 BTC ((108,484,479)",0.0052782%,2013-09-24 02:45:52,2025-02-05 14:45:20,26,,,
133,1D4PtqZ8gdX8cBR8VgLSnC53c1tGL9wopJ,"1,036 BTC ((107,142,249)",0.0052129%,2012-07-24 00:39:01,2021-07-08 01:34:19,24,,,
134,1KNxYaLy5HGZmKGH8NzJzUVhomHg84d2y2,"1,033 BTC ((106,788,329)",0.0051957%,2011-11-15 09:08:15,2021-07-08 01:34:19,26,,,
135,1AyB2Ff33WjN8HyFHGa6UnEypDTnexiuVM,"1,023 BTC ((105,819,157)",0.0051485%,2014-07-01 12:51:08,2025-02-05 18:09:28,24,,,
136,1khWP41zrADdWSNwzXQUZGpURPgXHTaux,"1,010 BTC ((104,450,226)",0.0050819%,2013-10-02 03:34:16,2025-02-06 11:19:12,23,,,
137,1khbFxF6n3oDyMHGhBWjpQZE8TFoVYtSE,"1,003 BTC ((103,726,315)",0.0050467%,2013-09-24 02:45:52,2025-02-06 11:57:11,25,,,
138,14WeToVbjbByAUD8GGHRU9BJGwETBFLPKT,"1,001 BTC ((103,545,337)",0.0050379%,2011-08-08 20:20:12,2025-02-06 11:57:11,24,,,
139,14qdBdRTvT4i4QZ6iqRhrBj732x9EpoFQC,"1,001 BTC ((103,519,483)",0.0050366%,2010-10-04 16:33:45,2025-02-06 11:57:11,27,,,
