Rank,Address,Balance,% of coins,First In,Last In,Ins,First Out,Last Out,Outs
14,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,10000,0.050316%,2011-05-04 10:28:05,2025-04-12 06:35:27,51,,,
15,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,9260,0.046593%,2010-03-18 22:37:36,2025-01-28 16:27:07,92,,,
16,167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,8999,0.04528%,2010-08-10 06:35:11,2025-01-28 16:27:07,56,,,
17,18zuLTKQnLjp987LdxuYvjekYnNAvXif2b,8021,0.040357%,2013-04-25 09:16:44,2025-06-04 05:47:53,36,,,
18,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,8000,0.040253%,2009-02-22 19:50:53,2025-04-07 01:30:52,83,,,
19,15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,7941,0.039956%,2010-04-11 01:02:35,2025-04-24 17:04:30,119,2010-04-11 03:15:16,2010-10-15 15:22:58,60.0
20,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,7000,0.035221%,2011-05-28 01:03:02,2025-01-27 23:15:16,50,,,
21,1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,6999,0.035216%,2010-11-09 01:32:00,2025-02-21 03:02:52,41,,,
22,1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,6512,0.032766%,2011-04-24 09:40:50,2024-12-27 21:08:15,30,,,
23,1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb,6316,0.031779%,2013-04-25 09:47:34,2025-01-27 14:13:01,33,,,
24,1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavs,6200,0.031196%,2013-12-07 12:23:51,2024-12-27 22:14:58,31,,,
25,1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtC,5075,0.025535%,2014-02-21 11:04:52,2025-01-28 12:11:55,122,2014-11-09 02:23:04,2014-11-09 02:23:04,6.0
26,1ARWCREnmdKyHgNg2c9qih8UzRr4MMQEQS,5000,0.025158%,2011-05-17 23:09:56,2025-04-08 13:34:00,36,,,
27,1DaCQDfStUgkPQXcf53Teeo6LPiKcVMBM9,5000,0.025158%,2014-04-17 02:27:15,2025-01-27 14:29:42,35,,,
28,19z6WynrjHeD5MMv6919BuQRwybuen1sRv,5000,0.025158%,2014-04-17 03:07:07,2024-12-28 21:21:32,32,,,
29,1NQEV6T4avmPqUVTvgsKkeB6yc8qnSWfhR,5000,0.025158%,2014-04-17 02:53:08,2024-12-28 21:21:32,32,,,
30,1NJQZhzYac89fDhQCmb1khdjekKNVYLFMY,5000,0.025158%,2014-04-17 02:45:14,2024-12-28 21:21:32,31,,,
31,1BvNwfxEQwZNRmYQ3eno6e976XyxhCsRXj,4881,0.02456%,2013-04-25 10:03:29,2024-12-28 23:16:57,33,,,
32,1Miy5sJZSamDZN6xcJJidp9zYxhSrpDeJm,4792,0.024111%,2013-12-21 13:44:50,2024-12-29 12:33:55,33,,,
33,18Hp8j2JMvwtPs1eqNaYEEVvuFpjQJRFVY,4333,0.021802%,2011-08-08 20:20:12,2024-12-30 13:46:47,37,,,
34,16eb495TbiCRbRbZv4WBdaUvNGxUYJ4jed,4322,0.021748%,2011-08-08 20:20:12,2024-12-30 13:46:47,37,,,
35,1GX7i8jG8DD1mG85BNnz7xybVhSmw84Uii,4109,0.020674%,2013-04-25 08:58:46,2024-12-30 14:23:03,35,,,
36,1N5NqDWiLVqtU8mEzCNEeEbQVHwuGGChJs,4049,0.020373%,2013-12-11 19:15:43,2025-01-28 16:27:07,41,,,
37,1VeMPNgEtQGurwjW2WsYXQaw4boAX5k6S,4000,0.020127%,2014-11-30 23:06:15,2024-12-30 20:16:00,56,,,
38,18eY9oWL2mkXCL1VVwPme2NMmAVhX6EfyM,4000,0.020126%,2011-06-28 06:46:13,2025-03-24 02:18:37,60,,,
39,1ALXLVNj7yKRU2Yki3K3yQGB5TBPof7jyo,4000,0.020126%,2010-07-25 08:35:23,2024-12-30 20:16:00,35,,,
40,1LwBdypLh3WPawK1WUqGZXgs4V8neHHqb7,4000,0.020126%,2011-05-17 22:52:51,2024-12-30 20:16:00,37,,,
41,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,3963,0.019938%,2011-01-13 22:30:16,2024-12-30 20:16:00,41,,,
42,1GMFSWQQQhCQyRNQcac9tDKcvqYCuripVs,3674,0.018487%,2013-04-25 11:09:35,2024-12-30 21:51:56,31,,,
43,14mPMrRm6TdjqHZhd7aBUbuWt5MYWReukR,3600,0.018114%,2013-03-13 17:10:00,2025-01-28 16:26:42,34,,,
44,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,3350,0.016856%,2010-08-07 13:53:03,2024-12-30 22:36:21,40,2010-08-19 05:58:26,2011-04-24 14:44:11,2.0
45,1Gn1GzVa88T1X3fdhejyq6jrZs43T24xW6,3249,0.016347%,2011-08-08 20:20:12,2024-12-31 20:10:01,30,,,
46,1PTYXwamXXgQoAhDbmUf98rY2Pg1pYXhin,3233,0.016268%,2010-02-17 16:13:38,2024-12-31 20:10:01,33,,,
47,16oKJMcUZkDbq2tXDr9Fm2HwgBAkJPquyU,3215,0.016174%,2011-07-29 01:57:42,2024-12-31 23:58:43,30,,,
48,193zge613zys7eSkQYQVd9xubovLN8Sr6j,3145,0.015823%,2014-09-06 08:34:31,2025-01-01 01:49:13,29,,,
49,1EgH7EUfgjr8gAK9t1BeHLDC1ijrVvdec3,3082,0.015505%,2014-04-16 16:10:01,2025-01-01 13:11:05,287,2014-05-07 16:42:48,2014-07-22 18:20:42,13.0
50,19HhmfxGsznL8K7wXjZiFnhqddQucgfZzB,3000,0.015095%,2010-12-07 22:23:16,2025-01-27 23:28:19,40,,,
51,15DtovKcGFiAJmyVfbjvCXHyjtyoZhyyj4,3000,0.015095%,2013-04-18 03:36:45,2025-01-01 15:55:44,31,,,
52,1ArZGb5V24gAgN51FeQknobi6kNyGx739r,3000,0.015095%,2013-04-18 05:17:43,2025-01-01 15:56:03,30,,,
53,1JjMoB212ctAiuDvURyWhs813yY4c75cap,3000,0.015095%,2013-04-18 05:17:43,2025-01-01 15:58:47,31,,,
54,1FDVbVJYKkWPFcJEzCxi99vpKTYxEY3zdj,3000,0.015095%,2013-04-18 03:36:45,2025-01-01 15:58:47,31,,,
55,1LQaq7LLoyjdfH3vczuusa17WsRokhsRvG,2966,0.014924%,2011-08-08 20:20:12,2025-01-02 00:30:26,26,,,
56,19DdkMxutkLGY67REFPLu51imfxG9CUJLD,2616,0.013162%,2010-09-30 02:57:51,2025-01-23 02:20:07,32,,,
57,1BrSzBwx2RLuppgGziqgF7oMuneHQVhsNc,2600,0.013082%,2013-04-25 08:58:46,2025-01-02 23:00:25,31,,,
58,17j45BXWrjSDttuurcSQubYLdLescJ7eJH,2585,0.013005%,2013-09-18 06:45:14,2025-01-02 23:00:25,111,,,
59,1P6brDbYKsQGqRduaTMa1v8hBqJYjig4Qc,2510,0.012629%,2013-04-25 08:58:46,2025-01-03 12:24:58,29,,,
60,1NT1jtYLNwFXLztD4U4B9sLizdYatirhWW,2500,0.012579%,2012-03-21 17:57:20,2025-01-03 12:24:58,30,,,
61,12owkvCcMPw5u1M692GbBFmpaMdX3kqXQM,2500,0.012579%,2011-12-01 15:51:46,2025-01-03 12:24:58,28,,,
62,1Kj6epyY2MdzZUCHE572jeV9n7DDRReaZJ,2407,0.012112%,2014-01-16 14:51:15,2025-01-28 16:27:07,31,2014-01-16 14:55:10,2014-01-16 14:55:10,1.0
63,152p1VPp2UYceP9BLtJRLoMgoErQRCryTt,2350,0.011824%,2014-10-28 07:24:56,2025-01-03 20:33:15,71,,,
64,1Dp1yVTFmgb6oL5WoNVsLsZso4ATMzxD1M,2288,0.011511%,2012-07-04 06:35:50,2025-01-28 03:29:28,40,2012-07-09 00:55:06,2012-08-19 20:21:38,2.0
65,1HjdiADVHew97yM8z4Vqs4iPwMyQHkkuhj,2200,0.01107%,2010-02-07 03:45:17,2025-01-04 00:08:52,31,,,
66,1JaPNwMXt2AuVkWmkUHbsw78MbGorTfmm2,2195,0.011042%,2010-07-04 08:57:13,2025-04-08 03:20:36,53,2010-07-04 08:59:55,2012-07-24 07:02:48,15.0
67,1CounterpartyXXXXXXXXXXXXXXXUWLpVr,2131,0.010722%,2014-01-03 07:19:37,2025-05-02 19:39:24,3095,,,
68,1VLZtmKa95BFrXHeyHEETAivJ22pTEhrT,2100,0.010566%,2011-08-08 20:20:12,2025-02-01 12:54:52,41,,,
69,1NB3ZXxs3vfq1hRhuSAZ3zPdQNrXBQB6ZX,2100,0.010566%,2012-07-05 05:56:50,2025-01-04 11:57:36,31,,,
70,13DyBwhpDw6152q1drbK2US5S3CdY1mRnU,2100,0.010566%,2010-07-19 16:27:34,2025-01-04 11:57:36,29,,,
71,16Q5zhKCMbpEkR43K6tgzdkh1mTUfi7SMy,2100,0.010566%,2011-08-08 14:24:37,2025-01-04 12:04:47,26,,,
72,13ACvVSUKeQ57zBtENsJtHManPTJ5sZuRw,2100,0.010566%,2012-02-28 08:11:11,2025-01-04 12:04:47,30,,,
73,1MEKbMf7hPw2scP468unqAXjedZWMM4La4,2097,0.01055%,2013-04-25 10:54:07,2025-01-04 12:57:31,27,,,
74,1CkdZXJtpbxxX4QAzbRhiFNU3PkcsUsFzw,2066,0.010396%,2011-03-08 02:40:21,2025-01-04 12:57:31,28,,,
75,1CU33fX35WYJDNxXM5jqawQtVGr32QEGrV,2050,0.010315%,2011-08-08 20:20:12,2025-01-04 12:57:31,29,,,
76,1BMB272EM8F9RXaFszJ7nxxN8VNjoa3mYu,2012,0.010123%,2011-08-08 20:20:12,2025-01-28 16:27:07,28,,,
77,13dSnmhFeX3qqbsi4thXXad4ggTh6VCESG,2000,0.010063%,2013-01-05 05:45:53,2025-01-28 11:11:50,31,,,
78,16w8WZ8Ub1Whk6SP4cw4op5cgyRVsb77T8,2000,0.010063%,2013-07-29 11:37:02,2025-01-04 22:22:40,29,,,
79,16y2tVCgnwGM6c3kPPuQDJrSadQqcddUm6,2000,0.010063%,2013-01-05 05:35:02,2025-01-04 22:22:40,29,,,
80,18KHS8ndbKJ1iEtTxv44Ree3Fs7oCURg83,2000,0.010063%,2013-11-27 23:21:42,2025-01-04 22:22:40,29,,,
81,1KF8CrJXpAf8EB63a91EHaH1TobnDsRgaK,2000,0.010063%,2013-01-05 06:11:41,2025-01-04 22:22:40,28,,,
82,1NTva3cWy3Xiueh5GPWCa9cz8SePrv6cmT,2000,0.010063%,2013-11-11 22:19:36,2025-01-04 22:22:40,38,,,
83,13RwLs69Y7xPrTM5E2aa9RxiDSyeX6jEyw,2000,0.010063%,2013-01-05 05:35:02,2025-01-04 22:22:40,26,,,
84,1KxQJau7BkuwHZh7Ugo2yoqKN9WeS51S5C,2000,0.010063%,2013-03-20 13:34:16,2025-01-04 22:22:40,27,,,
85,1ER3nEZFqXUkKw6AucHnmPxXnQQ8F6SJEG,1969,0.0099073%,2012-10-12 11:42:57,2025-01-05 11:55:45,28,,,
86,14CQ2jCrpsd1eSdC4zWsJZH9LvDr6GrCyo,1958,0.0098496%,2011-08-08 23:49:10,2025-01-05 11:55:45,30,,,
87,1C4H9GDALbjDVnbfTt4a9ML1XbwzLS1rUC,1908,0.0096003%,2013-11-19 10:57:55,2025-01-05 12:34:45,25,,,
88,1FdPpELnjHfwSM4Nvi7LdYS4S4GVGsLUQY,1804,0.009077%,2012-04-13 18:08:58,2025-01-05 19:22:36,246,2012-04-21 01:56:30,2012-11-23 02:21:50,174.0
89,1Ek9Jj3Z3Bnipe3DnMq2otXG5iNjze66VR,1799,0.0090531%,2010-10-07 03:31:47,2025-04-07 02:42:20,27,,,
90,1DtFKiPdYD2U6XDZGtWK7q8JYVrDKBHBqE,1766,0.0088858%,2011-08-08 14:24:37,2025-01-05 19:38:23,27,,,
91,13FKHnREotr4jrjiSJwPUpecogVT7Rj7bu,1750,0.0088053%,2010-08-04 17:00:41,2025-01-28 16:26:42,38,2010-12-08 05:35:38,2012-07-24 07:19:32,7.0
92,1BVMFfPXJy2TY1x6wm8gow3N5Amw4Etm5h,1698,0.0085449%,2010-11-09 00:04:43,2025-02-17 06:52:44,34,2010-11-09 01:32:00,2010-11-09 01:32:00,1.0
93,113324vM6NBar2q72w6iDCdQvPnPQw8Tvw,1600,0.0080506%,2011-06-13 08:33:20,2025-01-06 11:35:35,28,,,
94,1MmcSBpzNYeGgSfVNxXEoBdpmsCxyMUuWW,1600,0.0080506%,2011-06-17 03:08:49,2025-01-06 11:35:35,26,,,
95,1JNamaC2PE4woAk1vaoW46e5pxgdQkaKnc,1592,0.0080103%,2011-08-08 20:20:12,2025-01-06 11:35:35,26,,,
96,1JKkR1fSQKY6qUGHdNrD9wzTavButq7AWp,1526,0.0076788%,2012-03-26 09:13:05,2025-01-06 12:42:19,30,,,
97,1J3St3rp3hVsuLGhegbLWicyPL3NRD3YJ7,1523,0.0076639%,2011-07-29 01:57:42,2025-01-06 12:42:19,27,,,
98,1khexYoq6fvMdKAww7dpdZb4WBPKBq2hb,1518,0.007638%,2013-09-25 09:13:43,2025-01-06 12:42:19,27,,,
99,13oRbW4P5kYaSX4UXAyd5VsSYr8x5hX2Pv,1500,0.0075474%,2011-05-12 03:48:24,2025-01-06 15:01:59,26,,,
100,174NVbudzKV1jZnZvRzKvauZxnq25NfG4v,1500,0.0075474%,2012-07-04 06:35:50,2025-01-28 16:27:07,31,2012-07-09 00:55:06,2012-07-20 20:54:35,2.0
101,14mYYUZJPUMgofvURnFY65YRSj1uqDzXBj,1482,0.0074587%,2013-10-21 08:34:48,2025-01-06 21:46:03,27,,,
102,14uByGebfPR3EDhA9sVvg4wXdBNbJYW753,1441,0.0072512%,2013-12-31 18:30:19,2025-01-07 20:08:42,28,,,
103,1D6iTqvbgcqenbkKNsFsi9zN21KH4KPPEa,1435,0.0072194%,2011-02-01 04:56:59,2025-01-28 16:26:42,33,2011-02-03 13:21:54,2011-02-03 13:21:54,1.0
104,1AV4KGCsvtPZ9tG7hvwgb85wJyFd9xdpFv,1430,0.0071933%,2012-12-22 05:52:39,2025-01-08 11:27:23,468,2012-12-24 02:24:12,2013-09-09 23:30:21,315.0
105,1DmXZ4UWKQ2AjwLAvEK8R6vmZe5jYoFUE6,1411,0.0071012%,2012-09-05 11:37:46,2025-01-08 11:27:23,22,,,
106,1NScGjCDbwKKQhrUgQVhvkiWTiqDR2GaLY,1400,0.0070443%,2013-05-18 06:32:04,2025-01-13 00:00:09,24,,,
107,139Gqqx4TESNaX1DAg5jRJCd3P22GGS1E1,1399,0.0070373%,2013-12-06 16:06:03,2025-01-19 09:36:35,25,,,
108,1JqdadgxgxrnbEnfvohxtaSNbHt52kVLtC,1396,0.0070264%,2013-02-01 15:19:38,2025-01-19 11:11:56,3484,,,
109,1K4VSNMNqnmngpTXdny8a6xj9cfvyTtFfV,1381,0.0069467%,2013-10-27 08:25:02,2025-01-20 00:55:12,300,,,
110,14ResTzJYh5t9xDqtEsgCfXNjaWNSuA5uQ,1364,0.0068641%,2012-07-04 06:35:50,2025-01-31 11:23:03,36,2012-07-20 01:45:07,2012-07-20 01:45:07,1.0
111,1GkqY6YQB6WKC9Hjh8oP8yojDufDYRCXkq,1336,0.0067233%,2011-06-27 04:28:57,2025-01-31 12:14:35,44,,,
112,194RLDTv6rjkDu9kX99mTBuK6KunAWRRkk,1335,0.0067172%,2014-03-06 06:30:26,2025-01-31 12:14:35,74,2014-11-09 02:23:04,2014-11-09 02:23:04,10.0
113,1Dq9aaxg3DJ6rXfhKE5jKYQmcK3SBuYy74,1326,0.0066719%,2013-12-12 03:15:50,2025-01-31 12:14:35,23,,,
114,15aKbxrQCJDEemv8LBeqE5mX6JikdporrZ,1312,0.0066035%,2013-01-17 13:55:18,2025-01-31 12:14:35,35,,,
115,1FUGUiJFcsLktTAkexy2ghT3Kus7yyEuUJ,1303,0.0065582%,2013-01-22 06:32:24,2025-01-31 12:14:35,47,2013-02-09 09:46:26,2013-07-06 04:00:24,13.0
116,12bFfEEyw8MwT2oan8Tv99Cw15kYKL6aiJ,1300,0.0065411%,2013-07-30 04:56:48,2025-01-31 13:46:46,24,,,
117,1F6aQVRg1aWB5K63fNcaA79o9Xoik27GM,1300,0.0065411%,2013-07-01 21:33:32,2025-01-31 13:46:46,24,,,
118,1BmU4dAJAKEaDuj3Eswc66UxjbHWdVWu4F,1294,0.0065109%,2011-08-08 20:20:12,2025-01-31 13:46:46,26,,,
119,18iJBAX3BRVZT2i5vkh73TUM9UvAN1ASE3,1236,0.0062196%,2012-08-03 19:57:25,2025-01-31 14:39:07,25,,,
120,15eSCVaJFFXbFitzNxWwUUCEwpS2dkZK2G,1209,0.0060827%,2012-11-30 11:30:10,2025-02-01 13:06:40,29,2012-12-18 18:36:54,2012-12-18 18:36:54,1.0
121,165JPvFVSTLqV8seGzY7mumNpzysVSoTKc,1206,0.0060699%,2011-11-18 13:37:08,2025-05-14 00:37:24,26,,,
122,1APMXEM4SUeR9WBwvUVjAponH9vzeG2fjp,1201,0.006043%,2013-01-22 15:09:13,2021-05-22 23:22:00,23,,,
123,1MVLP2kRPNqz8VJUy83LstUoMQzUjgq4Zg,1201,0.0060412%,2010-09-10 20:45:07,2025-02-01 15:03:00,41,,,
124,1B2KQvEL2wyWiBmxg5rNbHCU4zQmGDgiwH,1200,0.0060379%,2013-06-05 07:23:34,2025-02-01 15:03:00,23,,,
125,1FHJmaZ46UsX6gZzaQQqduA5xcCcsCLcYj,1182,0.0059474%,2014-12-04 05:10:22,2025-02-02 21:13:00,24,,,
126,1k7rio1YLfhN2JfaAsmsy3PT2oUdqiy8J,1182,0.0059474%,2012-11-15 07:06:31,2025-02-02 21:13:00,25,,,
127,14E4jGeo7Gys3DvQThT9AiEq3yvmcpRZ27,1170,0.005887%,2013-07-05 18:51:23,2025-02-02 21:33:05,25,,,
128,1N5ACP9k2wRUgC3siFRu45MoR9Xkvb6Wmc,1111,0.0055901%,2011-08-08 20:20:12,2025-02-03 19:03:57,24,,,
129,12yqUYtcCvDgiDgzJTT7DsSCoSifwYavhH,1105,0.0055599%,2013-01-22 11:58:14,2025-02-03 19:03:57,75,2013-01-23 13:53:42,2013-09-07 21:00:16,5.0
130,1Dd3QKnvAZC17SvguLq8aoi8JLtQfr532P,1100,0.0055353%,2013-06-15 00:21:39,2025-02-04 11:36:11,28,,,
131,1KmaiBSWEwmLcmq1TZzEJqwvmchS6t2n3E,1093,0.0055006%,2011-04-10 03:33:42,2025-02-04 14:06:07,31,2011-05-02 00:09:43,2011-05-02 00:09:43,1.0
132,1khUbG5x5irP5S8oaDDdNHZffymb5bpXu,1049,0.0052782%,2013-09-24 02:45:52,2025-02-05 14:45:20,26,,,
133,1D4PtqZ8gdX8cBR8VgLSnC53c1tGL9wopJ,1036,0.0052129%,2012-07-24 00:39:01,2021-07-08 01:34:19,24,,,
134,1KNxYaLy5HGZmKGH8NzJzUVhomHg84d2y2,1033,0.0051957%,2011-11-15 09:08:15,2021-07-08 01:34:19,26,,,
135,1AyB2Ff33WjN8HyFHGa6UnEypDTnexiuVM,1023,0.0051485%,2014-07-01 12:51:08,2025-02-05 18:09:28,24,,,
136,1khWP41zrADdWSNwzXQUZGpURPgXHTaux,1010,0.0050819%,2013-10-02 03:34:16,2025-02-06 11:19:12,23,,,
137,1khbFxF6n3oDyMHGhBWjpQZE8TFoVYtSE,1003,0.0050467%,2013-09-24 02:45:52,2025-02-06 11:57:11,25,,,
138,14WeToVbjbByAUD8GGHRU9BJGwETBFLPKT,1001,0.0050379%,2011-08-08 20:20:12,2025-02-06 11:57:11,24,,,
139,14qdBdRTvT4i4QZ6iqRhrBj732x9EpoFQC,1001,0.0050366%,2010-10-04 16:33:45,2025-02-06 11:57:11,27,,,
140,1Au1PEH71fsKfhgHSGN77CmH9tVmURriAY,1000,0.0050328%,2012-08-06 23:55:14,2025-02-06 14:01:29,25,,,
141,1Au17NJipcVz2CDbVJBYBajR4AkinbLT7P,1000,0.0050316%,2012-10-20 14:54:07,2025-02-06 19:00:14,26,,,
142,18xjbYXKfohTNrX41g1GAzzjh1sjJPzRqd,1000,0.0050316%,2012-12-05 00:48:29,2025-02-06 19:00:14,24,,,
143,1PmLAqBiiCTpq6hc8BJ3wa8hJtyjNPdvHE,1000,0.0050316%,2013-11-06 07:06:02,2025-02-06 19:07:12,27,,,
144,1EqGWHKPrJZzLzUFTULLA3caYnQv53wQJP,1000,0.0050316%,2013-04-28 22:16:11,2025-02-06 19:49:47,25,,,
145,1AwpCykpTxiNhu6eTH62YcXVfBEcTM4Sai,1000,0.0050316%,2012-01-12 16:30:51,2025-02-06 19:49:47,25,,,
146,12zgpEbXRs9JzXRckvdkQFfu99jn521Dfi,1000,0.0050316%,2013-12-03 19:55:53,2025-02-06 19:49:47,31,,,
147,1Dg5eLjUu8tp5Rhkq1iG9XNPoryrPLQA15,1000,0.0050316%,2012-12-05 05:06:31,2025-02-06 19:49:47,27,,,
148,1Ab1BCNuYwGtfDKgJWh81zbeyB7HWNc9xJ,1000,0.0050316%,2012-12-05 04:39:14,2025-02-06 19:49:47,27,,,
149,1Mnc9YWgfSyyut8wdKDNznYhi2NvYnsqCw,1000,0.0050316%,2011-05-17 04:23:10,2025-02-06 20:38:08,30,2011-05-17 11:32:40,2011-05-17 11:32:40,1.0
150,1Au1uZnK87eUMoJKRL9S3wroM29AiUQtL5,1000,0.0050316%,2011-12-21 09:36:38,2025-02-06 20:38:08,27,,,
151,1DFxKaDmq1cuzLjo949quvWqPA3UVu3hP7,1000,0.0050316%,2012-12-05 06:02:37,2025-02-06 20:38:08,26,,,
152,1LcKmgPFaXpJui5LMbaogk7A88kwdJK9Rg,1000,0.0050316%,2012-12-04 13:24:34,2025-02-06 20:38:08,25,,,
153,16hr6GDzWvBrkhSg5337jTrUnrs7Z9GdS9,1000,0.0050316%,2013-11-06 07:09:01,2025-02-06 20:38:08,26,,,
154,16TkpJm34XjeVdZZckTWAn1dqYbX5v7K4a,1000,0.0050316%,2013-11-06 07:06:02,2025-02-06 20:38:08,27,,,
155,13aNpzpiRe2VfupbroMWv68Q2VbJrnWdXP,1000,0.0050316%,2013-04-26 15:52:09,2025-02-06 20:38:08,25,,,
156,1H1ECjR96iAiTpiVaooQwcV9JHxf57vg2m,1000,0.0050316%,2013-04-26 15:52:09,2025-02-06 20:38:08,24,,,
157,14WWrJMGPo43mAoLXoH53pREAEUAFFW66T,1000,0.0050316%,2010-07-23 00:44:53,2025-02-06 20:38:08,26,,,
158,1Au1fALPbBY4qA1YRPUC9GBKm8gAZJ1CCN,1000,0.0050316%,2013-08-20 03:13:32,2025-02-06 20:38:08,25,,,
159,1Dbvh6L8Ce22bnfe4uMVqXZb19ift8ohqx,1000,0.0050316%,2013-04-28 22:16:11,2025-02-06 20:38:08,25,,,
160,12dvRka7H1AydknnwqdsX9trXHbNZFzE57,1000,0.0050316%,2012-12-05 05:35:59,2025-02-06 20:42:00,28,,,
161,1L9oHjwBs5VVtrKFT6gXMAwqdobfhMZaWF,1000,0.0050316%,2012-12-05 02:19:46,2025-02-06 20:42:00,26,,,
162,1KVyYVs7qbzuZt4s6M1hKRwtQZm2QQZLiA,1000,0.0050316%,2011-06-08 18:51:33,2025-02-06 20:42:00,31,2011-06-08 19:03:33,2011-06-09 15:13:26,2.0
163,14xWSU6vrV7H285PR96pGtvqg6XLfycSt4,1000,0.0050316%,2012-12-05 00:24:45,2025-02-06 20:49:51,27,,,
164,1KiQNazvLpchWb8rZx3VqhyaE56PXxcuYB,1000,0.0050316%,2011-06-01 02:59:50,2025-02-06 20:49:51,25,,,
165,1BNSd5s2wUm48PwVkf8CUYKabhM4iiHPmx,1000,0.0050316%,2012-12-05 05:23:00,2025-02-06 20:49:51,26,,,
166,1B8C6LkjpQHg6PnHzujfg3ujZ7Z3C9pEqW,1000,0.0050316%,2013-06-28 19:59:09,2025-02-07 10:49:03,25,,,
167,14SvnRSkHckB4NCFSNETgs7wbbwx2iN2HU,1000,0.0050316%,2013-04-26 15:52:09,2025-02-07 10:49:03,25,,,
168,1Mz9MJ3Tvm8vjZrdTDXSoJrL54uUGjh459,1000,0.0050316%,2012-12-05 06:04:54,2025-02-07 10:49:03,25,,,
169,1H5hXypTRciskxVC5nPGEF6Cw24F1AzC4,1000,0.0050316%,2012-12-05 05:12:05,2021-05-30 20:46:56,25,,,
170,19C5VdmSD3SF8f7Che4t2hxHHWPjKPGegt,1000,0.0050316%,2012-12-05 03:46:45,2025-02-07 10:49:03,25,,,
171,19GxhCCB59ZYYSTGSFrd5imG6wPWbhd4zr,1000,0.0050316%,2012-12-05 01:55:22,2025-02-07 10:49:03,25,,,
172,1PNwELxYci8bcMn3D9JBpqoANXuHTZ88YM,1000,0.0050316%,2012-12-04 12:17:07,2025-02-07 10:49:03,25,,,
173,1Atpo8TGJPkUtLreMrKzCGUUrxcYBHafA4,1000,0.0050316%,2013-11-28 08:13:48,2025-02-07 10:49:03,25,,,
174,1QFET85uxFHhud5T8RVYp8hzCbdfYHvz6x,1000,0.0050316%,2013-04-30 00:45:08,2025-02-07 12:44:57,25,,,
175,1CSXJ4kB7Y9hp3MVHSs7qbzsF3xuFcQLXK,1000,0.0050316%,2013-04-30 00:45:08,2025-02-07 12:44:57,25,,,
176,17pE1V6ZgNyPwsYtXaR1tJuZvvtcry8ukt,1000,0.0050316%,2013-04-30 00:45:08,2021-05-30 20:46:56,25,,,
177,1AbVjHyy52HpaHC9RCiSFszXzgPEhHcQqj,1000,0.0050316%,2013-04-30 00:19:27,2025-02-07 10:49:03,25,,,
